id_client,id_vehicle,id_year,id_claim,claim_nb,claim_amount
A00000480,V01,Year 0,CL01,1,3443.81
A00000487,V01,Year 0,CL01,1,83.5
A00000497,V01,Year 0,CL01,1,597.42
A00000506,V01,Year 0,CL01,1,160.86
A00000517,V01,Year 0,CL01,1,609.31
A00000529,V01,Year 0,CL01,1,297.68
A00000537,V01,Year 0,CL01,1,2554.43
A00000539,V01,Year 0,CL01,1,-19.85
A00000542,V01,Year 0,CL01,1,1240.31
A00000548,V01,Year 0,CL01,1,712.18
A00000557,V01,Year 0,CL01,1,530.52
A00000565,V01,Year 0,CL01,1,488.67
A00000566,V01,Year 0,CL01,1,257.83
A00000570,V01,Year 0,CL01,1,1240.89
A00000588,V01,Year 0,CL01,1,2497.06
A00000610,V01,Year 0,CL01,1,3376.15
A00000615,V01,Year 0,CL01,1,4593.99
A00000634,V01,Year 0,CL01,1,315.78
A00000639,V01,Year 0,CL01,1,2453.28
A00000640,V01,Year 0,CL01,1,101.59
A00000643,V01,Year 0,CL01,1,680.33
A00000652,V01,Year 0,CL01,1,1117.61
A00000655,V01,Year 0,CL01,1,1010.41
A00000655,V02,Year 0,CL01,1,1840.26
A00000661,V01,Year 0,CL01,1,1236
A00000666,V01,Year 0,CL01,1,445.83
A00000670,V01,Year 0,CL01,1,162.35
A00000672,V01,Year 0,CL01,1,542.47
A00000675,V02,Year 0,CL01,1,472.2
A00000695,V01,Year 0,CL01,1,558.8
A00000696,V01,Year 0,CL01,1,1236
A00000696,V02,Year 0,CL01,1,419.72
A00000705,V01,Year 0,CL01,1,-342.1
A00000708,V01,Year 0,CL01,1,3246.68
A00000712,V01,Year 0,CL01,1,2909.54
A00000727,V01,Year 0,CL01,1,437.14
A00000728,V01,Year 0,CL01,1,241.3
A00000730,V01,Year 0,CL01,1,90.4
A00000739,V01,Year 0,CL01,1,-207.53
A00000750,V01,Year 0,CL01,1,201.1
A00000756,V01,Year 0,CL01,1,965.14
A00000759,V01,Year 0,CL01,1,506.77
A00000761,V01,Year 0,CL01,1,597.52
A00000765,V01,Year 0,CL01,1,1236
A00000787,V01,Year 0,CL01,1,753.14
A00000795,V02,Year 0,CL01,1,618
A00000795,V02,Year 0,CL02,1,478.76
A00000815,V01,Year 0,CL01,1,676.26
A00000822,V01,Year 0,CL01,1,850.6
A00000827,V01,Year 0,CL01,1,24.03
A00000836,V01,Year 0,CL01,1,299.39
A00000858,V01,Year 0,CL01,1,359.96
A00000871,V01,Year 0,CL01,1,360.19
A00000871,V01,Year 0,CL02,1,155.93
A00000873,V01,Year 0,CL01,1,272.12
A00000874,V01,Year 0,CL01,1,103.59
A00000874,V01,Year 0,CL02,1,1010.41
A00000874,V01,Year 0,CL03,1,142.56
A00000891,V01,Year 0,CL01,1,557.18
A00000904,V01,Year 0,CL01,1,281
A00000913,V01,Year 0,CL01,1,64.29
A00000923,V01,Year 0,CL01,1,-170.13
A00000927,V01,Year 0,CL01,1,1236
A00000929,V01,Year 0,CL01,1,474.06
A00000932,V01,Year 0,CL01,1,2548.22
A00000935,V01,Year 0,CL01,1,318.3
A00000942,V01,Year 0,CL01,1,917.3
A00000948,V01,Year 0,CL01,1,-10.59
A00000970,V01,Year 0,CL01,1,227.35
A00000989,V01,Year 0,CL01,1,892.85
A00000990,V01,Year 0,CL01,1,319.31
A00000990,V01,Year 0,CL02,1,409.9
A00000998,V01,Year 0,CL01,1,401.55
A00001010,V01,Year 0,CL01,1,399.13
A00001018,V01,Year 0,CL01,1,106.14
A00001019,V01,Year 0,CL01,1,487.26
A00001023,V01,Year 0,CL01,1,17.94
A00001031,V01,Year 0,CL01,1,480.97
A00001033,V01,Year 0,CL01,1,305.94
A00001039,V01,Year 0,CL01,1,800.17
A00001041,V01,Year 0,CL01,1,504.31
A00001042,V01,Year 0,CL01,1,1159.5
A00001050,V01,Year 0,CL01,1,777.14
A00001068,V01,Year 0,CL01,1,117.81
A00001077,V02,Year 0,CL01,1,320.07
A00001089,V01,Year 0,CL01,1,1236
A00001091,V01,Year 0,CL01,1,1236
A00001095,V01,Year 0,CL01,1,82.32
A00001098,V01,Year 0,CL01,1,774.21
A00001105,V01,Year 0,CL01,1,2589.37
A00001110,V01,Year 0,CL01,1,550.12
A00001129,V01,Year 0,CL01,1,185.81
A00001134,V01,Year 0,CL01,1,0
A00001134,V01,Year 0,CL02,1,612.46
A00001135,V01,Year 0,CL01,1,397.77
A00001136,V01,Year 0,CL01,1,119.55
A00001137,V01,Year 0,CL01,1,2111.9
A00001153,V01,Year 0,CL01,1,1236
A00001153,V02,Year 0,CL01,1,1236
A00001158,V01,Year 0,CL01,1,-524.97
A00001162,V01,Year 0,CL01,1,631.02
A00001167,V01,Year 0,CL01,1,1010.41
A00001180,V01,Year 0,CL01,1,0
A00001181,V01,Year 0,CL01,1,467.76
A00001187,V01,Year 0,CL01,1,1103.37
A00001204,V01,Year 0,CL01,1,4888.4
A00001209,V01,Year 0,CL01,1,155.55
A00001219,V01,Year 0,CL01,1,126.97
A00001227,V01,Year 0,CL01,1,1236
A00001236,V01,Year 0,CL01,1,1667.52
A00001242,V01,Year 0,CL01,1,246.58
A00001276,V01,Year 0,CL01,1,1236
A00001276,V01,Year 0,CL02,1,618
A00001278,V01,Year 0,CL01,1,1848.39
A00001284,V02,Year 0,CL01,1,1100.41
A00001288,V01,Year 0,CL01,1,1927.93
A00001290,V01,Year 0,CL01,1,327.68
A00001291,V01,Year 0,CL01,1,1225.75
A00001297,V01,Year 0,CL01,1,372.62
A00001298,V01,Year 0,CL01,1,-905.82
A00001305,V01,Year 0,CL01,1,1405.23
A00001311,V01,Year 0,CL01,1,404.17
A00001315,V01,Year 0,CL01,1,518.58
A00001318,V01,Year 0,CL01,1,-34.72
A00001318,V01,Year 0,CL02,1,2683.76
A00001319,V01,Year 0,CL01,1,297.47
A00001324,V01,Year 0,CL01,1,340.12
A00001326,V01,Year 0,CL01,1,518.65
A00001326,V01,Year 0,CL02,1,1132.37
A00001326,V01,Year 0,CL03,1,1758.31
A00001328,V01,Year 0,CL01,1,224.68
A00001341,V01,Year 0,CL01,1,60.29
A00001342,V01,Year 0,CL01,1,-549.11
A00001344,V01,Year 0,CL01,1,618
A00001345,V01,Year 0,CL01,1,405.03
A00001364,V01,Year 0,CL01,1,316.6
A00001369,V01,Year 0,CL01,1,0
A00001369,V01,Year 0,CL02,1,310.18
A00001377,V01,Year 0,CL01,1,930.97
A00001380,V01,Year 0,CL01,1,85.62
A00001382,V01,Year 0,CL01,1,249.78
A00001406,V01,Year 0,CL01,1,417.37
A00001411,V01,Year 0,CL01,1,1236
A00001418,V01,Year 0,CL01,1,599.71
A00001420,V01,Year 0,CL01,1,60.36
A00001435,V01,Year 0,CL01,1,0
A00001436,V01,Year 0,CL01,1,521.43
A00001441,V01,Year 0,CL01,1,-902.83
A00001444,V01,Year 0,CL01,1,179.4
A00001444,V01,Year 0,CL02,1,1236
A00001445,V01,Year 0,CL01,1,1236
A00001446,V01,Year 0,CL01,1,2555.45
A00001447,V01,Year 0,CL01,1,1301.91
A00001450,V01,Year 0,CL01,1,520.47
A00001462,V01,Year 0,CL01,1,1236
A00001479,V01,Year 0,CL01,1,734.24
A00001496,V01,Year 0,CL01,1,109.18
A00001499,V01,Year 0,CL01,1,245.18
A00001503,V02,Year 0,CL01,1,337.82
A00001505,V01,Year 0,CL01,1,784.13
A00001507,V01,Year 0,CL01,1,1236.66
A00001543,V02,Year 0,CL01,1,2726.67
A00001555,V01,Year 0,CL01,1,1330.48
A00001558,V01,Year 0,CL01,1,330.31
A00001564,V01,Year 0,CL01,1,178.21
A00001565,V01,Year 0,CL01,1,1010.41
A00001566,V01,Year 0,CL01,1,1700.13
A00001573,V01,Year 0,CL01,1,510.04
A00001576,V01,Year 0,CL01,1,1236
A00001593,V01,Year 0,CL01,1,356.75
A00001594,V01,Year 0,CL01,1,666.79
A00001599,V01,Year 0,CL01,1,75.88
A00001600,V01,Year 0,CL01,1,404
A00001606,V01,Year 0,CL01,1,1010.41
A00001626,V01,Year 0,CL01,1,876.64
A00001643,V01,Year 0,CL01,1,6858.68
A00001652,V01,Year 0,CL01,1,315.36
A00001654,V01,Year 0,CL01,1,395.18
A00001654,V01,Year 0,CL02,1,801.64
A00001663,V01,Year 0,CL01,1,83.06
A00001668,V01,Year 0,CL01,1,1953.92
A00001670,V01,Year 0,CL01,1,-688.63
A00001675,V01,Year 0,CL01,1,447.06
A00001683,V01,Year 0,CL01,1,943.52
A00001684,V01,Year 0,CL01,1,1247.9
A00001703,V01,Year 0,CL01,1,485.66
A00001719,V01,Year 0,CL01,1,640.07
A00001722,V02,Year 0,CL01,1,1459.76
A00001731,V01,Year 0,CL01,1,64.4
A00001740,V01,Year 0,CL01,1,1568.55
A00001747,V01,Year 0,CL01,1,618
A00001751,V02,Year 0,CL01,1,130.11
A00001766,V01,Year 0,CL01,1,99.39
A00001770,V02,Year 0,CL01,1,106.14
A00001771,V01,Year 0,CL01,1,574.98
A00001802,V01,Year 0,CL01,1,663.07
A00001819,V01,Year 0,CL01,1,131.91
A00001823,V01,Year 0,CL01,1,939.02
A00001827,V01,Year 0,CL01,1,471.84
A00001832,V01,Year 0,CL01,1,366.75
A00001834,V01,Year 0,CL01,1,346.77
A00001851,V01,Year 0,CL01,1,106.14
A00001853,V01,Year 0,CL01,1,2443.06
A00001869,V01,Year 0,CL01,1,1073.24
A00001877,V01,Year 0,CL01,1,272.1
A00001886,V01,Year 0,CL01,1,1930.38
A00001893,V03,Year 0,CL01,1,2470.3
A00001899,V01,Year 0,CL01,1,514.92
A00001902,V01,Year 0,CL01,1,-352.73
A00001915,V01,Year 0,CL01,1,134.75
A00001924,V01,Year 0,CL01,1,0
A00001932,V01,Year 0,CL01,1,585.63
A00001936,V01,Year 0,CL01,1,632.56
A00001938,V01,Year 0,CL01,1,60.29
A00001939,V01,Year 0,CL01,1,618
A00001941,V01,Year 0,CL01,1,421.21
A00001946,V01,Year 0,CL01,1,-197.22
A00001955,V01,Year 0,CL01,1,145.89
A00001971,V01,Year 0,CL01,1,2144.69
A00001983,V01,Year 0,CL01,1,21
A00001998,V01,Year 0,CL01,1,254.89
A00002015,V01,Year 0,CL01,1,216.1
A00002018,V01,Year 0,CL01,1,2255.21
A00002035,V01,Year 0,CL01,1,105.2
A00002040,V01,Year 0,CL01,1,1207.56
A00002045,V01,Year 0,CL01,1,1236
A00002050,V01,Year 0,CL01,1,466.99
A00002056,V01,Year 0,CL01,1,395.08
A00002074,V01,Year 0,CL01,1,373.39
A00002075,V01,Year 0,CL01,1,113.87
A00002081,V01,Year 0,CL01,1,1236
A00002082,V02,Year 0,CL01,1,4565.37
A00002091,V01,Year 0,CL01,1,3161.13
A00002092,V01,Year 0,CL01,1,1403.71
A00002098,V01,Year 0,CL01,1,2044.71
A00002116,V01,Year 0,CL01,1,593.98
A00002123,V02,Year 0,CL01,1,969.12
A00002123,V03,Year 0,CL01,1,994.1
A00002124,V01,Year 0,CL01,1,2000
A00002128,V03,Year 0,CL01,1,118.07
A00002132,V01,Year 0,CL01,1,1003.35
A00002133,V01,Year 0,CL01,1,56.19
A00002138,V01,Year 0,CL01,1,1236
A00002154,V01,Year 0,CL01,1,621.6
A00002154,V01,Year 0,CL02,1,1236
A00002156,V01,Year 0,CL01,1,746.69
A00002160,V01,Year 0,CL01,1,130.11
A00002165,V01,Year 0,CL01,1,215.28
A00002183,V01,Year 0,CL01,1,-173.96
A00002183,V01,Year 0,CL02,1,388.91
A00002183,V01,Year 0,CL03,1,346.81
A00002190,V01,Year 0,CL01,1,655.22
A00002197,V01,Year 0,CL01,1,4198.22
A00002197,V01,Year 0,CL02,1,75.72
A00002197,V01,Year 0,CL03,1,13972.96
A00002205,V01,Year 0,CL01,1,1236
A00002209,V01,Year 0,CL01,1,149.58
A00002216,V02,Year 0,CL01,1,-515.71
A00002218,V01,Year 0,CL01,1,654.02
A00002219,V02,Year 0,CL01,1,1236
A00002234,V01,Year 0,CL01,1,202.45
A00002236,V01,Year 0,CL01,1,163.06
A00002245,V01,Year 0,CL01,1,33.2
A00002252,V01,Year 0,CL01,1,60.29
A00002261,V01,Year 0,CL01,1,275.41
A00002265,V01,Year 0,CL01,1,86.95
A00002265,V01,Year 0,CL02,1,0
A00002265,V01,Year 0,CL03,1,916.15
A00002269,V01,Year 0,CL01,1,0
A00002274,V02,Year 0,CL01,1,-48.34
A00002275,V01,Year 0,CL01,1,5237.26
A00002279,V01,Year 0,CL01,1,2153.31
A00002287,V01,Year 0,CL01,1,1236
A00002288,V01,Year 0,CL01,1,1818.31
A00002297,V01,Year 0,CL01,1,901.59
A00002297,V01,Year 0,CL02,1,399.24
A00002298,V01,Year 0,CL01,1,189.27
A00002323,V01,Year 0,CL01,1,794.62
A00002327,V01,Year 0,CL01,1,801.53
A00002337,V01,Year 0,CL01,1,2545.61
A00002339,V01,Year 0,CL01,1,480.08
A00002354,V01,Year 0,CL01,1,1234.96
A00002358,V01,Year 0,CL01,1,1236
A00002359,V01,Year 0,CL01,1,106.14
A00002377,V01,Year 0,CL01,1,2426.24
A00002380,V01,Year 0,CL01,1,1010.41
A00002392,V01,Year 0,CL01,1,441.05
A00002399,V01,Year 0,CL01,1,544.35
A00002402,V01,Year 0,CL01,1,161.94
A00002418,V01,Year 0,CL01,1,-53.82
A00002435,V01,Year 0,CL01,1,1320.43
A00002437,V01,Year 0,CL01,1,130.11
A00002438,V01,Year 0,CL01,1,1010.41
A00002450,V01,Year 0,CL01,1,645.19
A00002452,V01,Year 0,CL01,1,0
A00002465,V01,Year 0,CL01,1,1442.87
A00002468,V01,Year 0,CL01,1,83.06
A00002496,V01,Year 0,CL01,1,1567.83
A00002498,V01,Year 0,CL01,1,744.91
A00002499,V01,Year 0,CL01,1,2204.95
A00002500,V01,Year 0,CL01,1,45
A00002516,V01,Year 0,CL01,1,768.66
A00002516,V02,Year 0,CL01,1,1903.81
A00002524,V01,Year 0,CL01,1,1281.41
A00002528,V01,Year 0,CL01,1,-774.81
A00002536,V01,Year 0,CL01,1,9378.08
A00002540,V02,Year 0,CL01,1,1413.59
A00002542,V01,Year 0,CL01,1,-67.91
A00002545,V01,Year 0,CL01,1,5730.14
A00002546,V02,Year 0,CL01,1,825.73
A00002546,V02,Year 0,CL02,1,0
A00002551,V01,Year 0,CL01,1,79.37
A00002556,V01,Year 0,CL01,1,29.9
A00002566,V01,Year 0,CL01,1,512.8
A00002566,V01,Year 0,CL02,1,3693.79
A00002571,V01,Year 0,CL01,1,469.97
A00002585,V01,Year 0,CL01,1,661.98
A00002587,V01,Year 0,CL01,1,1236
A00002590,V01,Year 0,CL01,1,-193.86
A00002590,V01,Year 0,CL02,1,2615.27
A00002599,V01,Year 0,CL01,1,1806.37
A00002601,V01,Year 0,CL01,1,1970.05
A00002601,V01,Year 0,CL02,1,1533.46
A00002624,V01,Year 0,CL01,1,0
A00002629,V01,Year 0,CL01,1,0
A00002651,V02,Year 0,CL01,1,1236
A00002651,V02,Year 0,CL02,1,631.27
A00002651,V02,Year 0,CL03,1,1010.41
A00002655,V01,Year 0,CL01,1,725.52
A00002682,V01,Year 0,CL01,1,189.4
A00002703,V01,Year 0,CL01,1,103.59
A00002708,V01,Year 0,CL01,1,1010.41
A00002708,V01,Year 0,CL02,1,364.39
A00002722,V01,Year 0,CL01,1,1236
A00002726,V01,Year 0,CL01,1,498.85
A00002726,V02,Year 0,CL01,1,130.11
A00002726,V02,Year 0,CL02,1,130.11
A00002735,V01,Year 0,CL01,1,2884.8
A00002739,V01,Year 0,CL01,1,535.27
A00002742,V01,Year 0,CL01,1,512.91
A00002744,V01,Year 0,CL01,1,-250.49
A00002747,V01,Year 0,CL01,1,438.97
A00002761,V01,Year 0,CL01,1,384.97
A00002765,V01,Year 0,CL01,1,1247.91
A00002785,V01,Year 0,CL01,1,252.63
A00002790,V01,Year 0,CL01,1,1244.51
A00002790,V01,Year 0,CL02,1,28.5
A00002792,V01,Year 0,CL01,1,-628.05
A00002807,V01,Year 0,CL01,1,467.46
A00002828,V01,Year 0,CL01,1,-634.84
A00002833,V01,Year 0,CL01,1,1236
A00002845,V01,Year 0,CL01,1,101.59
A00002848,V01,Year 0,CL01,1,436.67
A00002851,V01,Year 0,CL01,1,1236
A00002861,V02,Year 0,CL01,1,0
A00002864,V01,Year 0,CL01,1,488.67
A00002883,V01,Year 0,CL01,1,660.48
A00002899,V01,Year 0,CL01,1,1236
A00002900,V01,Year 0,CL01,1,528.42
A00002910,V01,Year 0,CL01,1,339.39
A00002916,V01,Year 0,CL01,1,540.23
A00002923,V01,Year 0,CL01,1,60.29
A00002925,V01,Year 0,CL01,1,2973.47
A00002937,V01,Year 0,CL01,1,25.44
A00002950,V01,Year 0,CL01,1,60.29
A00002950,V01,Year 0,CL02,1,-583.45
A00002954,V01,Year 0,CL01,1,392.42
A00002956,V01,Year 0,CL01,1,0
A00002956,V01,Year 0,CL02,1,2453.28
A00002956,V01,Year 0,CL03,1,0
A00002960,V01,Year 0,CL01,1,2736.8
A00002965,V01,Year 0,CL01,1,618
A00002969,V01,Year 0,CL01,1,433.02
A00002990,V01,Year 0,CL01,1,515.12
A00002992,V01,Year 0,CL01,1,-79.95
A00002992,V01,Year 0,CL02,1,540.84
A00002998,V01,Year 0,CL01,1,297.84
A00003003,V01,Year 0,CL01,1,99.15
A00003010,V01,Year 0,CL01,1,449.39
A00003013,V01,Year 0,CL01,1,524.44
A00003015,V01,Year 0,CL01,1,229.05
A00003023,V01,Year 0,CL01,1,323.9
A00003023,V01,Year 0,CL02,1,1507.85
A00003044,V01,Year 0,CL01,1,224.03
A00003051,V01,Year 0,CL01,1,490.54
A00003055,V01,Year 0,CL01,1,1010.41
A00003055,V01,Year 0,CL02,1,-175.12
A00003057,V01,Year 0,CL01,1,0
A00003057,V01,Year 0,CL02,1,602.4
A00003058,V01,Year 0,CL01,1,-511.19
A00003079,V02,Year 0,CL01,1,67.64
A00003088,V01,Year 0,CL01,1,-563.61
A00003096,V01,Year 0,CL01,1,1739.34
A00003098,V01,Year 0,CL01,1,1707.85
A00003103,V01,Year 0,CL01,1,1236
A00003109,V01,Year 0,CL01,1,290.64
A00003110,V01,Year 0,CL01,1,-568.81
A00003117,V01,Year 0,CL01,1,423.81
A00003126,V01,Year 0,CL01,1,374.9
A00003132,V02,Year 0,CL01,1,351.63
A00003151,V01,Year 0,CL01,1,938.21
A00003156,V01,Year 0,CL01,1,1236
A00003156,V01,Year 0,CL02,1,0
A00003156,V01,Year 0,CL03,1,197.69
A00003157,V01,Year 0,CL01,1,1084.33
A00003164,V01,Year 0,CL01,1,0
A00003165,V01,Year 0,CL01,1,478.82
A00003166,V01,Year 0,CL01,1,1038.82
A00003173,V01,Year 0,CL01,1,331.34
A00003175,V01,Year 0,CL01,1,3452.11
A00003182,V02,Year 0,CL01,1,277.96
A00003188,V01,Year 0,CL01,1,155.48
A00003201,V01,Year 0,CL01,1,0
A00003204,V01,Year 0,CL01,1,165.01
A00003209,V01,Year 0,CL01,1,1236
A00003211,V01,Year 0,CL01,1,1236
A00003217,V01,Year 0,CL01,1,-387.26
A00003234,V01,Year 0,CL01,1,90
A00003242,V01,Year 0,CL01,1,74
A00003243,V01,Year 0,CL01,1,89.7
A00003243,V01,Year 0,CL02,1,703.32
A00003247,V01,Year 0,CL01,1,532.49
A00003257,V01,Year 0,CL01,1,689.16
A00003257,V01,Year 0,CL02,1,646.01
A00003262,V01,Year 0,CL01,1,739.81
A00003263,V02,Year 0,CL01,1,123.13
A00003273,V01,Year 0,CL01,1,473.89
A00003280,V01,Year 0,CL01,1,1236
A00003281,V01,Year 0,CL01,1,-18.22
A00003282,V01,Year 0,CL01,1,1608.72
A00003284,V01,Year 0,CL01,1,1257.89
A00003286,V01,Year 0,CL01,1,423.9
A00003296,V01,Year 0,CL01,1,2201.51
A00003296,V01,Year 0,CL02,1,5486.36
A00003300,V01,Year 0,CL01,1,553.96
A00003305,V01,Year 0,CL01,1,903.17
A00003315,V02,Year 0,CL01,1,-338.02
A00003315,V02,Year 0,CL02,1,1236
A00003318,V01,Year 0,CL01,1,1236
A00003320,V01,Year 0,CL01,1,357.65
A00003330,V01,Year 0,CL01,1,180.51
A00003335,V01,Year 0,CL01,1,226.01
A00003335,V02,Year 0,CL01,1,564.37
A00003348,V01,Year 0,CL01,1,625.59
A00003354,V01,Year 0,CL01,1,-472.95
A00003356,V01,Year 0,CL01,1,248.53
A00003356,V01,Year 0,CL02,1,143.99
A00003373,V01,Year 0,CL01,1,140.54
A00003374,V01,Year 0,CL01,1,1532.47
A00003379,V01,Year 0,CL01,1,234.14
A00003381,V01,Year 0,CL01,1,1648.43
A00003396,V01,Year 0,CL01,1,3630.11
A00003397,V01,Year 0,CL01,1,158.69
A00003408,V01,Year 0,CL01,1,719.86
A00003411,V01,Year 0,CL01,1,213.94
A00003417,V01,Year 0,CL01,1,152.7
A00003423,V01,Year 0,CL01,1,629.21
A00003425,V01,Year 0,CL01,1,1528.33
A00003426,V01,Year 0,CL01,1,-568.72
A00003438,V01,Year 0,CL01,1,940.42
A00003438,V01,Year 0,CL02,1,446.64
A00003440,V01,Year 0,CL01,1,-771.97
A00003465,V01,Year 0,CL01,1,1238.03
A00003473,V01,Year 0,CL01,1,712.51
A00003475,V02,Year 0,CL01,1,328.42
A00003482,V01,Year 0,CL01,1,1801.95
A00003490,V01,Year 0,CL01,1,-655.86
A00003491,V01,Year 0,CL01,1,568.8
A00003491,V01,Year 0,CL02,1,56.19
A00003495,V01,Year 0,CL01,1,862.05
A00003495,V01,Year 0,CL02,1,2500.19
A00003496,V01,Year 0,CL01,1,106.14
A00003498,V01,Year 0,CL01,1,2149.22
A00003504,V01,Year 0,CL01,1,1010.41
A00003508,V01,Year 0,CL01,1,275.99
A00003517,V02,Year 0,CL01,1,490.96
A00003517,V02,Year 0,CL02,1,-751.21
A00003519,V01,Year 0,CL01,1,696.11
A00003525,V01,Year 0,CL01,1,106.14
A00003530,V01,Year 0,CL01,1,346.6
A00003536,V01,Year 0,CL01,1,434.71
A00003543,V01,Year 0,CL01,1,1010.41
A00003545,V01,Year 0,CL01,1,1851.42
A00003552,V01,Year 0,CL01,1,1236
A00003554,V01,Year 0,CL01,1,394.21
A00003556,V01,Year 0,CL01,1,-857.36
A00003557,V02,Year 0,CL01,1,681.72
A00003566,V01,Year 0,CL01,1,0
A00003573,V01,Year 0,CL01,1,712.12
A00003581,V01,Year 0,CL01,1,92.3
A00003587,V02,Year 0,CL01,1,1236
A00003596,V01,Year 0,CL01,1,2100.38
A00003597,V01,Year 0,CL01,1,334.89
A00003598,V01,Year 0,CL01,1,460.27
A00003599,V01,Year 0,CL01,1,2512.2
A00003599,V01,Year 0,CL02,1,87.67
A00003609,V01,Year 0,CL01,1,411.9
A00003620,V01,Year 0,CL01,1,500.47
A00003623,V01,Year 0,CL01,1,704.71
A00003652,V01,Year 0,CL01,1,423.01
A00003659,V01,Year 0,CL01,1,459.96
A00003660,V01,Year 0,CL01,1,0
A00003670,V01,Year 0,CL01,1,0
A00003670,V04,Year 0,CL01,1,485.42
A00003670,V04,Year 0,CL02,1,364.58
A00003677,V01,Year 0,CL01,1,650.05
A00003678,V01,Year 0,CL01,1,807.01
A00003695,V01,Year 0,CL01,1,1592
A00003704,V01,Year 0,CL01,1,1186.78
A00003704,V01,Year 0,CL02,1,316.39
A00003705,V01,Year 0,CL01,1,883.06
A00003707,V02,Year 0,CL01,1,305.41
A00003717,V01,Year 0,CL01,1,-907.66
A00003725,V01,Year 0,CL01,1,1236
A00003729,V01,Year 0,CL01,1,465.51
A00003740,V01,Year 0,CL01,1,1236
A00003747,V01,Year 0,CL01,1,1010.41
A00003748,V01,Year 0,CL01,1,6219.18
A00003749,V02,Year 0,CL01,1,387.54
A00003751,V01,Year 0,CL01,1,1195.2
A00003775,V01,Year 0,CL01,1,2558.75
A00003775,V01,Year 0,CL02,1,2549.54
A00003782,V01,Year 0,CL01,1,741.14
A00003783,V01,Year 0,CL01,1,459.14
A00003795,V01,Year 0,CL01,1,586.52
A00003805,V01,Year 0,CL01,1,205.46
A00003812,V01,Year 0,CL01,1,308.79
A00003817,V01,Year 0,CL01,1,99.17
A00003823,V01,Year 0,CL01,1,474.36
A00003823,V02,Year 0,CL01,1,103.59
A00003829,V01,Year 0,CL01,1,3387.08
A00003833,V01,Year 0,CL01,1,319.59
